legend,times_played,total_games,win_rate_pct
"Kennen, Heart of the Tempest",485,1049,59.2
"Master Yi, Wuju Bladesman",455,396,57.6
"Irelia, Blade Dancer",404,736,55.4
"Kai'sa, Daughter of the Void",292,94,44.7
"Diana, Scorn of the Moon",240,430,54.0
"Nasus, Curator of the Sands",233,439,47.4
"Reksai, Void Burrower",215,489,57.3
"Akali, Rogue Assassin",208,409,41.1
"Draven, Glorious Executioner",196,510,54.5
"Jayce, Defender of Tomorrow",184,326,51.2
"Azir, Emperor of the Sands",173,542,54.2
"Rengar, Pridestalker",154,500,59.0
"Mel, Soul's Reflection",147,305,43.0
"Ezreal, Prodigal Explorer",139,358,53.1
"Viktor, Herald of the Arcane",136,117,41.9
"Lillia, Bashful Bloom",133,427,47.5
"Fiora, Grand Duelist",132,277,48.4
"Leblanc, Deceiver",121,314,54.8
"Vex, Gloomist",110,337,45.7
"Khazix, Voidreaver",104,371,53.4
"Ornn, Fire Below the Mountain",98,349,46.4
"Ambessa, Matriarch of War",87,224,42.0
"Zed, Master of Shadows",69,190,41.6
"Pyke, Bloodharbor Ripper",66,217,41.0
"Shen, Eye of Twilight",51,141,41.1
"Ivern, Green Father",44,190,35.8
"Sivir, Battle Mistress",40,84,50.0
"Annie, Dark Child",38,100,48.0
"Rumble, Mechanized Menace",38,170,42.4
"Jhin, Virtuoso",37,189,38.6
"Lucian, Purifier",34,154,46.1
"Jax, Grandmaster at Arms",33,164,47.6
"Lux, Lady of Luminosity",32,,
"Master Yi, Wuju Master",31,123,41.5
"Vi, Piltover Enforcer",31,169,42.0
"Renekton, Butcher of the Sands",28,131,42.7
"Renata Glasc, Chem-Baroness",23,159,30.8
"Sett, The Boss",21,,
"Poppy, Keeper of the Hammer",16,129,40.3
"Leona, Radiant Dawn",14,,
"Miss Fortune, Bounty Hunter",13,,
"Yasuo, Unforgiven",12,,
"Teemo, Swift Scout",10,,
"Volibear, Relentless Storm",10,,
"Jinx, Loose Cannon",7,,
"Ahri, Nine-Tailed Fox",6,,
"Lee Sin, Blind Monk",4,,
"Darius, Hand of Noxus",2,,
